theta1_deg,theta3_deg,eta
-50,6,0.4766
-48,6,0.457
-46,6,0.4464
-44,6,0.4237
-42,6,0.4164
-40,6,0.4058
-38,6,0.4125
-36,6,0.3818
-34,6,0.3725
-32,6,0.331
-30,6,0.2603
-28,6,0.2166
-26,6,0.1851
-24,6,0.1357
-22,6,0.1079
-20,6,0.1159
-18,6,0.094
-16,6,0.0797
-14,6,0.072
-12,6,0.0466
-10,6,0.02
-8,6,0.02
-6,6,0.02
-90,8,0.6686
-88,8,0.6434
-86,8,0.6345
-84,8,0.6241
-82,8,0.6283
-80,8,0.5954
-78,8,0.5931
-76,8,0.5731
-74,8,0.5652
-72,8,0.5217
-70,8,0.4983
-68,8,0.4925
-66,8,0.4889
-64,8,0.4924
-62,8,0.5066
-60,8,0.5437
-58,8,0.5421
-56,8,0.5583
-54,8,0.5412
-52,8,0.5077
-50,8,0.5105
-48,8,0.4776
-46,8,0.4561
-44,8,0.4352
-42,8,0.4193
-40,8,0.3891
-38,8,0.3882
-36,8,0.3641
-34,8,0.3445
-32,8,0.2985
-30,8,0.2636
-28,8,0.2331
-26,8,0.164
-24,8,0.1389
-22,8,0.0983
-20,8,0.077
-18,8,0.0802
-16,8,0.071
-14,8,0.0441
-12,8,0.0269
-10,8,0.02
-8,8,0.02
-90,10,0.6812
-88,10,0.6377
-86,10,0.6154
-84,10,0.6104
-82,10,0.5855
-80,10,0.5993
-78,10,0.5921
-76,10,0.5919
-74,10,0.5539
-72,10,0.5566
-70,10,0.5088
-68,10,0.4957
-66,10,0.5006
-64,10,0.506
-62,10,0.5044
-60,10,0.517
-58,10,0.5547
-56,10,0.5427
-54,10,0.5494
-52,10,0.5343
-50,10,0.5025
-48,10,0.4761
-46,10,0.4427
-44,10,0.4277
-42,10,0.3849
-40,10,0.3853
-38,10,0.3585
-36,10,0.3486
-34,10,0.3356
-32,10,0.2936
-30,10,0.2538
-28,10,0.2199
-26,10,0.1509
-24,10,0.1179
-22,10,0.098
-20,10,0.0722
-18,10,0.0279
-16,10,0.0205
-14,10,0.02
-12,10,0.02
-10,10,0.02
-90,12,0.6774
-88,12,0.6262
-86,12,0.5939
-84,12,0.5997
-82,12,0.5909
-80,12,0.5887
-78,12,0.6008
-76,12,0.5873
-74,12,0.5579
-72,12,0.5659
-70,12,0.5311
-68,12,0.5243
-66,12,0.521
-64,12,0.4944
-62,12,0.5005
-60,12,0.5134
-58,12,0.5411
-56,12,0.5423
-54,12,0.5521
-52,12,0.543
-50,12,0.5032
-48,12,0.4832
-46,12,0.4359
-44,12,0.4083
-42,12,0.3924
-40,12,0.3693
-38,12,0.3305
-36,12,0.3256
-34,12,0.3028
-32,12,0.2687
-30,12,0.2565
-28,12,0.209
-26,12,0.1498
-24,12,0.1171
-22,12,0.0704
-20,12,0.0349
-18,12,0.02
-16,12,0.02
-14,12,0.02
-12,12,0.02
-90,14,0.6683
-88,14,0.6384
-86,14,0.6007
-84,14,0.5692
-82,14,0.5616
-80,14,0.5684
-78,14,0.5909
-76,14,0.5908
-74,14,0.5899
-72,14,0.5811
-70,14,0.5447
-68,14,0.5283
-66,14,0.5091
-64,14,0.5215
-62,14,0.5253
-60,14,0.5193
-58,14,0.5377
-56,14,0.5338
-54,14,0.5596
-52,14,0.5486
-50,14,0.5301
-48,14,0.4925
-46,14,0.4555
-44,14,0.39
-42,14,0.3758
-40,14,0.3352
-38,14,0.332
-36,14,0.3113
-34,14,0.2963
-32,14,0.273
-30,14,0.2268
-28,14,0.2036
-26,14,0.1377
-24,14,0.1128
-22,14,0.0674
-20,14,0.02
-18,14,0.02
-16,14,0.02
-14,14,0.02
-90,16,0.678
-88,16,0.6215
-86,16,0.5822
-84,16,0.5648
-82,16,0.5587
-80,16,0.5752
-78,16,0.5853
-76,16,0.5727
-74,16,0.5874
-72,16,0.5769
-70,16,0.5835
-68,16,0.5542
-66,16,0.5496
-64,16,0.5121
-62,16,0.5321
-60,16,0.5105
-58,16,0.5416
-56,16,0.5293
-54,16,0.5283
-52,16,0.5321
-50,16,0.5222
-48,16,0.4788
-46,16,0.4476
-44,16,0.4011
-42,16,0.3555
-40,16,0.3259
-38,16,0.2889
-36,16,0.2822
-34,16,0.2439
-32,16,0.2529
-30,16,0.2165
-28,16,0.1884
-26,16,0.1474
-24,16,0.0982
-22,16,0.0413
-20,16,0.02
-18,16,0.02
-16,16,0.02
-90,18,0.666
-88,18,0.6437
-86,18,0.6052
-84,18,0.5667
-82,18,0.553
-80,18,0.5541
-78,18,0.5612
-76,18,0.5692
-74,18,0.5737
-72,18,0.5857
-70,18,0.5961
-68,18,0.5755
-66,18,0.5652
-64,18,0.54
-62,18,0.5186
-60,18,0.5211
-58,18,0.5064
-56,18,0.52
-54,18,0.5275
-52,18,0.5279
-50,18,0.5148
-48,18,0.481
-46,18,0.4413
-44,18,0.3888
-42,18,0.3501
-40,18,0.3211
-38,18,0.2842
-36,18,0.2402
-34,18,0.2186
-32,18,0.2141
-30,18,0.1968
-28,18,0.1597
-26,18,0.1371
-24,18,0.0903
-22,18,0.039
-20,18,0.02
-18,18,0.02
-90,20,0.6591
-88,20,0.6307
-86,20,0.6031
-84,20,0.5862
-82,20,0.5452
-80,20,0.5502
-78,20,0.5623
-76,20,0.5617
-74,20,0.5903
-72,20,0.5932
-70,20,0.5864
-68,20,0.5903
-66,20,0.555
-64,20,0.5583
-62,20,0.5415
-60,20,0.5094
-58,20,0.5135
-56,20,0.5057
-54,20,0.5299
-52,20,0.5132
-50,20,0.4865
-48,20,0.4678
-46,20,0.4491
-44,20,0.3918
-42,20,0.3528
-40,20,0.3017
-38,20,0.2711
-36,20,0.2284
-34,20,0.2164
-32,20,0.1967
-30,20,0.1701
-28,20,0.1497
-26,20,0.111
-24,20,0.0792
-22,20,0.0219
-20,20,0.02
-90,22,0.6811
-88,22,0.6429
-86,22,0.6042
-84,22,0.5749
-82,22,0.5659
-80,22,0.5605
-78,22,0.5559
-76,22,0.5707
-74,22,0.5756
-72,22,0.5831
-70,22,0.5956
-68,22,0.5915
-66,22,0.5797
-64,22,0.5666
-62,22,0.5328
-60,22,0.5167
-58,22,0.5173
-56,22,0.5105
-54,22,0.4876
-52,22,0.4933
-50,22,0.4864
-48,22,0.4614
-46,22,0.4219
-44,22,0.3845
-42,22,0.3489
-40,22,0.2885
-38,22,0.246
-36,22,0.2137
-34,22,0.1833
-32,22,0.1514
-30,22,0.1226
-28,22,0.1126
-26,22,0.0968
-24,22,0.0619
-22,22,0.02
-90,24,0.6698
-88,24,0.6559
-86,24,0.6217
-84,24,0.5954
-82,24,0.5612
-80,24,0.5482
-78,24,0.5533
-76,24,0.5501
-74,24,0.5747
-72,24,0.601
-70,24,0.6035
-68,24,0.5976
-66,24,0.597
-64,24,0.5678
-62,24,0.5582
-60,24,0.5156
-58,24,0.5057
-56,24,0.4959
-54,24,0.4702
-52,24,0.481
-50,24,0.4551
-48,24,0.4465
-46,24,0.4048
-44,24,0.3741
-42,24,0.3201
-40,24,0.2709
-38,24,0.2337
-36,24,0.1791
-34,24,0.1568
-32,24,0.1347
-30,24,0.0982
-28,24,0.0741
-26,24,0.0476
-24,24,0.0287
-90,26,0.6834
-88,26,0.6474
-86,26,0.6339
-84,26,0.6125
-82,26,0.5855
-80,26,0.5723
-78,26,0.5723
-76,26,0.5548
-74,26,0.5626
-72,26,0.5831
-70,26,0.596
-68,26,0.618
-66,26,0.6092
-64,26,0.5818
-62,26,0.5709
-60,26,0.5437
-58,26,0.4979
-56,26,0.4881
-54,26,0.4756
-52,26,0.4442
-50,26,0.4532
-48,26,0.4409
-46,26,0.3896
-44,26,0.3507
-42,26,0.313
-40,26,0.2715
-38,26,0.2267
-36,26,0.1615
-34,26,0.1313
-32,26,0.0821
-30,26,0.0779
-28,26,0.056
-26,26,0.02
-90,28,0.6706
-88,28,0.6639
-86,28,0.6406
-84,28,0.6054
-82,28,0.6093
-80,28,0.5849
-78,28,0.5616
-76,28,0.564
-74,28,0.5716
-72,28,0.5905
-70,28,0.6003
-68,28,0.6244
-66,28,0.6219
-64,28,0.5865
-62,28,0.5873
-60,28,0.5456
-58,28,0.5178
-56,28,0.4836
-54,28,0.4509
-52,28,0.4412
-50,28,0.4329
-48,28,0.3955
-46,28,0.3891
-44,28,0.349
-42,28,0.305
-40,28,0.253
-38,28,0.2076
-36,28,0.1413
-34,28,0.1129
-32,28,0.0756
-30,28,0.0252
-28,28,0.0258
-90,30,0.6471
-88,30,0.6516
-86,30,0.6475
-84,30,0.6255
-82,30,0.5958
-80,30,0.6016
-78,30,0.5676
-76,30,0.5631
-74,30,0.5846
-72,30,0.5821
-70,30,0.612
-68,30,0.617
-66,30,0.6059
-64,30,0.5874
-62,30,0.5925
-60,30,0.5339
-58,30,0.5152
-56,30,0.471
-54,30,0.4466
-52,30,0.4189
-50,30,0.3974
-48,30,0.3747
-46,30,0.363
-44,30,0.314
-42,30,0.2801
-40,30,0.247
-38,30,0.1818
-36,30,0.135
-34,30,0.0805
-32,30,0.0384
-30,30,0.02
-90,32,0.6535
-88,32,0.6448
-86,32,0.6547
-84,32,0.6333
-82,32,0.6178
-80,32,0.5959
-78,32,0.5817
-76,32,0.5689
-74,32,0.5793
-72,32,0.5919
-70,32,0.5852
-68,32,0.5962
-66,32,0.6079
-64,32,0.6078
-62,32,0.5951
-60,32,0.5495
-58,32,0.5022
-56,32,0.4543
-54,32,0.4174
-52,32,0.3851
-50,32,0.3574
-48,32,0.3312
-46,32,0.3261
-44,32,0.2933
-42,32,0.2811
-40,32,0.2255
-38,32,0.1785
-36,32,0.1053
-34,32,0.0718
-32,32,0.02
-90,34,0.6486
-88,34,0.6477
-86,34,0.6497
-84,34,0.6472
-82,34,0.6301
-80,34,0.6106
-78,34,0.6198
-76,34,0.591
-74,34,0.5929
-72,34,0.5796
-70,34,0.5753
-68,34,0.5996
-66,34,0.5864
-64,34,0.5845
-62,34,0.5797
-60,34,0.5419
-58,34,0.5221
-56,34,0.4499
-54,34,0.4236
-52,34,0.3782
-50,34,0.3506
-48,34,0.3075
-46,34,0.2941
-44,34,0.2685
-42,34,0.2389
-40,34,0.213
-38,34,0.1688
-36,34,0.0926
-34,34,0.0432
-90,36,0.633
-88,36,0.6474
-86,36,0.6638
-84,36,0.6464
-82,36,0.643
-80,36,0.6449
-78,36,0.6127
-76,36,0.5953
-74,36,0.5779
-72,36,0.5679
-70,36,0.5803
-68,36,0.5878
-66,36,0.5813
-64,36,0.576
-62,36,0.576
-60,36,0.5486
-58,36,0.5019
-56,36,0.4615
-54,36,0.4184
-52,36,0.3671
-50,36,0.3219
-48,36,0.2908
-46,36,0.2731
-44,36,0.2342
-42,36,0.211
-40,36,0.1798
-38,36,0.1432
-36,36,0.0868
-90,38,0.6111
-88,38,0.6248
-86,38,0.6425
-84,38,0.6659
-82,38,0.663
-80,38,0.6476
-78,38,0.6277
-76,38,0.625
-74,38,0.606
-72,38,0.5984
-70,38,0.5766
-68,38,0.5734
-66,38,0.5601
-64,38,0.5549
-62,38,0.5544
-60,38,0.527
-58,38,0.4881
-56,38,0.4362
-54,38,0.4096
-52,38,0.3533
-50,38,0.2983
-48,38,0.2706
-46,38,0.2412
-44,38,0.2054
-42,38,0.1674
-40,38,0.1292
-38,38,0.1099
-90,40,0.6201
-88,40,0.6349
-86,40,0.6575
-84,40,0.6494
-82,40,0.6693
-80,40,0.669
-78,40,0.6528
-76,40,0.6212
-74,40,0.606
-72,40,0.5841
-70,40,0.5778
-68,40,0.573
-66,40,0.551
-64,40,0.5556
-62,40,0.532
-60,40,0.5304
-58,40,0.4929
-56,40,0.4397
-54,40,0.3835
-52,40,0.3232
-50,40,0.2703
-48,40,0.2438
-46,40,0.1895
-44,40,0.1627
-42,40,0.1497
-40,40,0.1097
-90,42,0.6228
-88,42,0.6251
-86,42,0.6321
-84,42,0.6531
-82,42,0.6767
-80,42,0.6759
-78,42,0.6719
-76,42,0.637
-74,42,0.6225
-72,42,0.6071
-70,42,0.5684
-68,42,0.5577
-66,42,0.5274
-64,42,0.5425
-62,42,0.5192
-60,42,0.4887
-58,42,0.4561
-56,42,0.4257
-54,42,0.3735
-52,42,0.3019
-50,42,0.271
-48,42,0.216
-46,42,0.1582
-44,42,0.1118
-42,42,0.1024
-90,44,0.6258
-88,44,0.6341
-86,44,0.6388
-84,44,0.6472
-82,44,0.6781
-80,44,0.6895
-78,44,0.6636
-76,44,0.6572
-74,44,0.6269
-72,44,0.6125
-70,44,0.5694
-68,44,0.5538
-66,44,0.5325
-64,44,0.4986
-62,44,0.4989
-60,44,0.4688
-58,44,0.457
-56,44,0.4056
-54,44,0.3653
-52,44,0.2914
-50,44,0.2311
-48,44,0.1813
-46,44,0.142
-44,44,0.0834
-90,46,0.6234
-88,46,0.6318
-86,46,0.6324
-84,46,0.6516
-82,46,0.6657
-80,46,0.6727
-78,46,0.6686
-76,46,0.6522
-74,46,0.6433
-72,46,0.6069
-70,46,0.5607
-68,46,0.5426
-66,46,0.4915
-64,46,0.4891
-62,46,0.4684
-60,46,0.4515
-58,46,0.4131
-56,46,0.3864
-54,46,0.3449
-52,46,0.2936
-50,46,0.2168
-48,46,0.1402
-46,46,0.0954
-90,48,0.648
-88,48,0.6479
-86,48,0.6488
-84,48,0.6445
-82,48,0.6595
-80,48,0.6679
-78,48,0.6785
-76,48,0.6601
-74,48,0.6454
-72,48,0.5973
-70,48,0.5671
-68,48,0.5413
-66,48,0.485
-64,48,0.4643
-62,48,0.4374
-60,48,0.4204
-58,48,0.3951
-56,48,0.3631
-54,48,0.3062
-52,48,0.2509
-50,48,0.2011
-48,48,0.1362
-90,50,0.6705
-88,50,0.6321
-86,50,0.6277
-84,50,0.6474
-82,50,0.6646
-80,50,0.676
-78,50,0.6725
-76,50,0.6569
-74,50,0.6276
-72,50,0.6116
-70,50,0.5773
-68,50,0.5186
-66,50,0.4815
-64,50,0.4483
-62,50,0.3897
-60,50,0.3843
-58,50,0.3424
-56,50,0.3141
-54,50,0.268
-52,50,0.2296
-50,50,0.1702
-90,52,0.6835
-88,52,0.6479
-86,52,0.6336
-84,52,0.6534
-82,52,0.6485
-80,52,0.6429
-78,52,0.6666
-76,52,0.639
-74,52,0.6321
-72,52,0.596
-70,52,0.5544
-68,52,0.4981
-66,52,0.4713
-64,52,0.4269
-62,52,0.3794
-60,52,0.3297
-58,52,0.308
-56,52,0.2741
-54,52,0.2444
-52,52,0.1991
-90,54,0.6881
-88,54,0.6636
-86,54,0.6644
-84,54,0.6338
-82,54,0.635
-80,54,0.6384
-78,54,0.6319
-76,54,0.6378
-74,54,0.6237
-72,54,0.6089
-70,54,0.5477
-68,54,0.5179
-66,54,0.4533
-64,54,0.3877
-62,54,0.3476
-60,54,0.3097
-58,54,0.276
-56,54,0.2218
-54,54,0.2022
-90,56,0.7049
-88,56,0.6969
-86,56,0.657
-84,56,0.6542
-82,56,0.6362
-80,56,0.6221
-78,56,0.627
-76,56,0.6208
-74,56,0.6094
-72,56,0.5859
-70,56,0.546
-68,56,0.5016
-66,56,0.1051
-64,56,0.1161
-62,56,0.1059
-60,56,0.0924
-58,56,0.0976
-56,56,0.1032
-90,58,0.7242
-88,58,0.6854
-86,58,0.6672
-84,58,0.6565
-82,58,0.6191
-80,58,0.6033
-78,58,0.6056
-76,58,0.6093
-74,58,0.5826
-72,58,0.5712
-70,58,0.5333
-68,58,0.0903
-66,58,0.113
-64,58,0.0993
-62,58,0.1123
-60,58,0.1099
-58,58,0.0935
-90,60,0.7144
-88,60,0.7222
-86,60,0.6719
-84,60,0.6676
-82,60,0.6367
-80,60,0.6096
-78,60,0.5996
-76,60,0.5846
-74,60,0.564
-72,60,0.5286
-70,60,0.1116
-68,60,0.0806
-66,60,0.1015
-64,60,0.0982
-62,60,0.1069
-60,60,0.1069
-90,62,0.733
-88,62,0.7254
-86,62,0.7034
-84,62,0.6461
-82,62,0.6158
-80,62,0.5781
-78,62,0.5775
-76,62,0.5463
-74,62,0.537
-72,62,0.0889
-70,62,0.0825
-68,62,0.113
-66,62,0.1164
-64,62,0.0921
-62,62,0.0963
-90,64,0.7193
-88,64,0.732
-86,64,0.6887
-84,64,0.6604
-82,64,0.6095
-80,64,0.5941
-78,64,0.5364
-76,64,0.5161
-74,64,0.1068
-72,64,0.1097
-70,64,0.1178
-68,64,0.0968
-66,64,0.1097
-64,64,0.0862
-90,66,0.7224
-88,66,0.7044
-86,66,0.6943
-84,66,0.6579
-82,66,0.6318
-80,66,0.5588
-78,66,0.5253
-76,66,0.0977
-74,66,0.118
-72,66,0.1142
-70,66,0.084
-68,66,0.1074
-66,66,0.1018
-90,68,0.7294
-88,68,0.7045
-86,68,0.6864
-84,68,0.6473
-82,68,0.6014
-80,68,0.5729
-78,68,0.0982
-76,68,0.1065
-74,68,0.1057
-72,68,0.1039
-70,68,0.0809
-68,68,0.1115
-90,70,0.6933
-88,70,0.6844
-86,70,0.6805
-84,70,0.6347
-82,70,0.6116
-80,70,0.0883
-78,70,0.0886
-76,70,0.1148
-74,70,0.0931
-72,70,0.0859
-70,70,0.116
-90,72,0.6687
-88,72,0.6882
-86,72,0.651
-84,72,0.6217
-82,72,0.09
-80,72,0.087
-78,72,0.1064
-76,72,0.081
-74,72,0.0806
-72,72,0.1116
-90,74,0.6559
-88,74,0.6494
-86,74,0.6291
-84,74,0.0821
-82,74,0.1097
-80,74,0.101
-78,74,0.1098
-76,74,0.099
-74,74,0.1111
-90,76,0.6426
-88,76,0.6165
-86,76,0.1002
-84,76,0.1178
-82,76,0.0817
-80,76,0.1113
-78,76,0.1147
-76,76,0.1009
-90,78,0.6185
-88,78,0.1186
-86,78,0.0824
-84,78,0.0992
-82,78,0.0961
-80,78,0.1074
-78,78,0.0996
-90,80,0.1164
-88,80,0.0829
-86,80,0.0832
-84,80,0.1043
-82,80,0.0826
-80,80,0.091
-90,82,0.1053
-88,82,0.1019
-86,82,0.093
-84,82,0.1198
-82,82,0.1012
-90,84,0.0981
-88,84,0.1042
-86,84,0.084
-84,84,0.1081
-90,86,0.1141
-88,86,0.106
-86,86,0.1108
-90,88,0.1088
-88,88,0.0886
-90,90,0.0981
